"ID","Event","Type","Year","Date","Speaker","Affiliation","Title","Slides","Video","Abstract"
"rinpharma_13","2018 Conference","Talk","2018","2018-08-15","Juliane Manitz","EDM Serono","Multi-state Model for the Analysis of an Association between Safety and Efficacy Events","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Manitz-Association_between_Safety_and_Efficacy_Events.pdf","","Safety and efficacy data in clinical trials are mostly analyzed separately. However, especially the treatment of life-threatening disease such as cancer requires a good understanding of benefit and associated risks to make an informed therapy decision for an individual patient. Recently approved immunotherapeutic drugs in oncology are associated with potential side effects such as immune-related hypothyroidism, rash and colitis. There is some biological reasoning that the occurrence of immune-related adverse events and corresponding management may compromise the drug response. On the other hand, it has been observed that patients responding to treatment might face a higher likelihood of adverse drug reactions. A multi-state model is able to explore these hypotheses and offers the opportunity of insights into potential associations while addressing some of the methodological challenges. For example, the necessity of a time-dependent approach to accommodate the fact that safety and efficacy events can occur throughout the treatment. Moreover, longer treatment duration can impact simultaneously the likelihood of efficacy as well as safety events, i.e., introducing immortal time bias. The multistate model is able to unfold this spurious correlation. We present an approach for analysis and exemplify the methodology with simulated data."
"rinpharma_15","2018 Conference","Talk","2018","2018-08-15","Bella Feng","Amgen","Becoming bilingual in SAS and R","","","In this talk, I will speak about my personal journey of learning R and transforming from a clinical study statistical programmer to a SAS/R bilingual, as well as my journey of leading the R initiative in Amgen’s Global Statistical Programming Department and Amgen R meetup, working with IS, statistician, quality, LMS and external partners. I will conclude by talking about the areas of challenge and the direction of R for statistical programming in a regulated environment and proposals for R in Pharma collaboration."
"rinpharma_16","2018 Conference","Talk","2018","2018-08-15","Lindsay Rutter","Iowa State University","Visualization methods for RNA-sequencing data analysis","","","RNA-seq data is biased and accurate detection of differentially expressed genes (DEGs) is not a trivial task. While the data collection can be considered high-throughput, data analysis has intricacies that require careful human attention. The most effective approach to modern data analysis is to iterate between models and visuals, and to enhance the appropriateness of models based on feedback from visuals. As it stands, there is a need to make it easier for scientists and clinicians to use models and visuals in a complimentary fashion during RNA-seq data analysis. Here, we use public RNA-seq data to show that our visualization tools can detect normalization problems, DEG designation problems, and common errors in RNA-seq analysis. We also show that our tools can identify genes of interest that cannot be obtained with models. Through this project, we propose that users slightly modify their approach to data analysis by quickly assessing the sensibility of their models with statistical graphics. We plan to publish a new R software package that includes the plotting techniques introduced in this project, which can be useful for exploring several types of multivariate biological data such as RNA-sequencing data."
"rinpharma_17","2018 Conference","Talk","2018","2018-08-15","Rena J. Eudy-Byrne","Metrum Research Group","The Use of R in the Development of Physiological Model for Healthy Growth","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Byrne-Physiological_Model_for_Healthy_Growth.html","","A physiologically-based mathematical model was developed as a series of ordinary differential equations to describe compositional changes (in fat and fat-free mass, FM & FFM) due to metabolizable energy exchanges in babies from birth to 2 years in low-to-middle income countries.1 The objective of this work was to identify potential biomarkers for future intervention studies, identify when to intervene to protect and/or rescue growth in individuals suffering from malnutrition, and to identify which of these individuals would be more or less likely to respond to a nutritional intervention. A translation of this model (155 parameters and 26 compartments) using R and the open-source mrgsolve package2 provided an efficient platform for multi-parameter optimization, as required during additional model development and for subsequent simulations. For comparison, a 8.62 seconds simulation with viral and bacterial infections (no interventions) in the R/mrgsolve implementation required 226 seconds in Matlab. Model translation to R also enabled simulations with a Shiny App, allowing users to simulate individual infant phenotypes and infection events and visualize growth and energy levels over time, relative to healthy (WHO) standards. The model currently also includes a relatively simple implementation of persistent antibiotic therapy with a potential for inclusion of drug exposure-related effects, i.e. - through a pharmacokinetic (PK) model, to describe effects of antiviral or antibiotic therapy. The challenge to this development is the scarcity of available data describing this therapy in malnourished children that would be needed for model calibration. Further development of the model includes linking to other systems models such Mother-fetus energy exchange or PBPK mother-fetus models, to enable simulations of growth beginning at gestation."
"rinpharma_18","2018 Conference","Talk","2018","2018-08-15","Volha Tryputsen","Janssen","Antibody Characterization Using Next Generation Sequencing made easier with Group My Abs shiny app","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Tryputsen-Antibody_Characterization_NGS_Group_My_Abs.pdf","","Next-generation sequencing (NGS), phage display technology and high throughput capacities enables biologists in drug discovery to characterize antibodies (Abs) based on their HCDR3 sequences and further group them into families before moving to hit-to-lead stage of drug discovery and development. This enables diversification of Ab portfolio and insures back up options if Ab candidate fails. However, there was no method or software available in-house to support Ab discovery with capacities to apply biophysical rules to classify the sequences. Shiny app ""Group My Abs"" was developed to apply biophysical properties for Ab characterization to the NGS data. Several Multiple Sequence Alignment algorithms implemented in the app enable sequence comparability. A method was developed to evaluate differences between comparable sequences and subsequently classify sequences into families. The app provides custom-made and interactive data visualization, enables refined Ab classification in a mathematical manner, considerably increases efficiency and insures reproducibility. This all decreases bias and enables informative decision making during the hit-to-lead stage in biologics drug discovery."
"rinpharma_19","2018 Conference","Talk","2018","2018-08-15","Ed Lauzier","Merck","Managing R and Associated Tools in Large Environments - an R-Admin’s Perspective","","","The dramatic increase of R in the computational, analytics, and data science areas has led to some innovative techniques in recent years for interactive analytics. This rate of change presents challenges for IT organizations to keep up and to maintain their software stacks for scientists for regulated and non-regulated environments. Techniques and Best Practices for managing updates and use cases will be presented from an R-Admin's perspective using a combination of opensource and professional tools."
"rinpharma_21","2018 Conference","Keynote","2018","2018-08-15","Max Kuhn","Rstudio","Modeling in the tidyverse","http://appliedpredictivemodeling.com/blog/rpharma18","","The tidyverse (tidyverse.org) is an opinionated collection of R packages designed for data science. All packages share an underlying design philosophy, grammar, and data structures. The packages primarily consist of tools for data ingest, manipulation, and visualization. In the last year or so, Rstudio and others have been creating a set of packages focused on the modeling process. In this talk, we will introduce the tidyverse and illustrate these new tools whose goals are to simplify the modeling process, encourage empirical validation and good methodology, and to enable a wider variety of approaches."
"rinpharma_22","2018 Conference","Talk","2018","2018-08-15","Xiao Ni","Novartis","ShinyRAP - a framework for analysis and building interactive/dynamic reports using Shiny/Markdown","","","R has become a prominent data science tool, empowered by a fast-growing modern R eco-system. At Novartis, Shiny and markdown have gained a lot of popularity in analyzing, visualizing and reporting of clinical trial data. Traditional report analysis plan (RAP) process was designed to create static table, figure and listings. In this talk, I will use ShinyRAP (a shiny app) to illustrate a novel framework/workflow of planning and executing of both pre-specified and ad-hoc analyses, as well as building dynamic/interactive reports through R/Shiny/Markdown. The app features efficient and organized programming through meta-data and shiny modules, and dynamic display of results via multi-select, grouping and searching, etc. Although motivated from a clinical trial data context, this framework can also be used for other types of data."
"rinpharma_23","2018 Conference","Talk","2018","2018-08-15","Jun Li","Bristol Myers Squibb","Data-Driven Strategies for Synthetic Route Design and Operational Modeling within Pharmaceutical Development","","","Decision analysis balancing both data analytics and human gut feeling is critical in designing efficient routes to synthesize new, complex small molecules. This challenge is faced by any organization seeking to deliver modern pharmaceutical compounds to patients in a prompt manner. In this presentation, we highlight the incorporation of data science approaches using R to develop metrics that aid in the development process current complexity, risk quantification, and process efficiency forecasting. Current complexity is a metric established from human insights that assesses a molecule’s complexity in the context of capability, tracking the ‘current’ complexity of a given molecule over time and enabling the quantitative assessment of a new route or process. Risk quantification utilizes a Bayesian framework to quantify risk from real data and operational patterns, at both the project and portfolio level, for assessing the delivery risk of early candidate nomination assets in areas such as FTE resource modeling. Process efficiency can be estimated with a predictive analytics framework capable of quantifying the probable efficiency of a proposed synthesis or benchmarking the outcome performance of the developed process, thereby minimizing the environmental impact of pharmaceutical production. These strategies have been effectively used to aid the decision-making processes for pharmaceutical R&D."
"rinpharma_24","2018 Conference","Talk","2018","2018-08-15","Jessica Myers Franklin","Harvard University","Evaluating the performance of advanced causal inference methods applied to healthcare claims data","","","Cohort studies of treatments developed from healthcare claims often have hundreds of thousands of patients and up to several thousand measured covariates. Therefore, new causal inference methods that combine ideas from machine learning and causal inference may improve analysis of these studies by taking advantage of the wealth of information measured in claims. In order to evaluate the performance of these methods as applied to claims-based studies, we use a combination of real data examples and plasmode simulation, implemented in R package ‘plasmode’, which creates realistic simulated datasets based on a real cohort study. In this talk, I will give an overview of our progress so far and what is left to be done."
"rinpharma_25","2018 Conference","Talk","2018","2018-08-15","Tanya Cashorali","CB Analytics","Optimization of raw materials genealogy in drug manufacturing with R, Shiny and d3","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Cashorali-Optimization_of_raw_materials_genealogy_in_drug_manufacturing.pdf","","Failure to thoroughly review discrepancies and deviations in drug manufacturing is consistently one of the top citations in FDA inspectional observations. Learn how a leading biotechnology organization successfully replaced an inefficient, manual inspection process with a genealogy visualization and inspection solution to optimize drug manufacturing quality control. This session will cover implementation approaches and lessons learned in data mapping, technology selection, visualization development, and predictive model generation."
"rinpharma_26","2018 Conference","Talk","2018","2018-08-15","Qi Liu","Roche / Genentech","REAP - R-Shiny Exploratory Analysis Platform in Clinical Pharmacology","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Li-Synthetic_Route_Design_and_Operational_Modeling.pptx","","REAP (R-Shiny Exploratory Analysis Platform) was developed by the Modeling and Simulation group within the Clinical Pharmacology department at Genentech, Inc., to support exploratory analyses of clinical data. REAP is a web-based, user-friendly, tool providing standard methods and outputs for conducting typical analyses within a clinical pharmacology group. With REAP, a clinical pharmacologist or pharmacometrician can perform Exposure-Response, dose linearity, and concentration-corrected QT analyses, PKPD simulations, NONMEM data quality checks, and PK graphic analyses without writing code. Results can be used to enhance scientific understanding of the relationship between exposure, response, and the PK characteristics of the molecule. In this talk, I will demonstrate how REAP can be used to perform dose linearity and Exposure-Response analyses."
"rinpharma_27","2018 Conference","Talk","2018","2018-08-15","Stefanie Butland","rOpenSci","rOpenSci - enabling open and reproducible research","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Butland-rOpenSci_Enabling_Open_and_Reproducible_Research.pdf","","The rOpenSci project is a non-profit initiative founded as a grassroots effort in 2011. We have evolved into a truly global community of researchers and data scientists who are R users and developers from a wide range of disciplines. rOpenSci advocates for a culture of open and reproducible research. We do this by creating technical infrastructure in the form of carefully vetted, staff- and community-contributed R software tools that lower barriers to working with scientific data sources on the web. We have developed a highly successful model for peer review of scientific software that provides transparent, constructive and collegial review of R packages. Our community is our best asset. We are building social infrastructure in the form of a welcoming and diverse community. rOpenSci.org hosts blog posts by authors and reviewers of onboarded packages to share both functionality and lessons learned; we promote these on social media to bring their work to a wider audience. Our discussion forum, community calls and annual hackathon-flavored unconference are designed to share best practices and to build a trust network for the often challenging discussions about doing research more reproducibly."
"rinpharma_28","2018 Conference","Talk","2018","2018-08-15","Gabe Becker","Roche / Genentech","Beyond Simple Reproducibility - Discoverability, Provenance, and Improving the Impact of Results","","","Research is an incremental, iterative process, with new results relying and building upon previous ones. Scientists need to find, retrieve, understand, and trust results in order to confidently extend them, even when the results are their own. We present the GREX framework, which facilitates this iterative process via the principled management of computational results. GREX combines robust storage, provenance tracking, automated annotation, discoverability, and reproduciblity of computational results. We will discuss both the underlying conceptual work and our reference implementation of our framework."
"rinpharma_29","2018 Conference","Workshop","2018","2018-08-16","Carson Sievert","RStudio","Interactive data visualization with R, plotly, and dashR","","",""
"rinpharma_30","2018 Conference","Workshop","2018","2018-08-16","Andy Nicholls","Glaxosmithkline","The Challenges of Validating R","","",""
"rinpharma_31","2018 Conference","Workshop","2018","2018-08-16","Sebastian Wolf","Roche / Genentech","The largest Shiny application in the world. Roche.Diagnostics.bioWARP","","",""
"rinpharma_33","2018 Conference","Talk","2018","2018-08-16","Joe Cheng","RStudio","Using interactivity responsibly in pharma","https://speakerdeck.com/jcheng5/using-shiny-responsibly-in-pharma","","Shiny is a package for turning analyses written in R into interactive web applications. This capability has obvious applications in pharma, as it lets R users build interactive apps for their collaborators to explore models or results, or to automate workflows. However, the interactivity of Shiny apps is a double-edged sword, as it introduces challenges to the traceability and reproducibility of your analysis. To use interactive applications in pharma responsibly, these challenges must be addressed. In this talk, I'll look at some of the tools and techniques you can use in Shiny to deal with these challenges head-on."
"rinpharma_34","2018 Conference","Talk","2018","2018-08-16","Carson Sievert","RStudio","Interactive data visualization with R, plotly, and dashR","","","Interactive web graphics are a popular and convenient medium for conveying information. However, web graphics are rarely used during the initial exploratory phase of a data analysis, largely due to the lack tools for seamless iteration between data manipulation, modeling, and visualization. As we've known for several decades, interactive graphics can augment exploratory analysis, but are only practical when we can iterate quickly. This talk demonstrates how to use the R packages plotly and dashR to rapidly produce interactive web graphics and applications that augment data exploration in addition to being easily distributed."
"rinpharma_35","2018 Conference","Talk","2018","2018-08-16","Eric Nantz","Eli Lilly","Developing powerful Shiny applications in an enterprise environment: Best practices and lessons learned","https://rpodcast.gitlab.io/rpharma2018/","","Recent advances in the Shiny ecosystem boost the scale and scope of serious enterprise-wide web applications. More specifically, it is entirely possible to utilize key features of Shiny Server Professional and additional R packages such as shinyjs, DT, and batchtools to build Shiny applications that supports session management, high-performance computing, and reproducibility in a friendly and logical interface. Additionally, the shinytest package enables a robust workflow for developing applications efficiently, as well as being an important component to automate a validation testing framework. In this talk, I will share examples of key features and lessons learned in creating a technically powerful shiny application that integrates these pieces together."
"rinpharma_37","2018 Conference","Talk","2018","2018-08-16","Leon Eyrich Jessen","Technical University of Denmark","NetTCR: Towards Accurate Prediction of T-cell Targets using Deep Learning","","","The interaction between the Major Histocompatibility Complex type I (MHC-I), a peptide and the T-cell receptor (TCR) (MHCIpTCR) is a key determinant of immune response elicitation and therefore of paramount importance in infectious- and autoimmune diseases and cancer. Current state-of-the-art models developed by our group can with great precision model MHCIp interactions. Using data from VDJdb and IEDB, we created an ensemble of convolutional neural networks, which to the best of our knowledge is the world’s first sequence based model capable of capturing the entire MHCIpTCR system. Due to limited data, we however currently can only model the interaction between the CDR3 region of the TCR’s beta chain with HLA-A*0201 and 3 peptides. However, as the model framework is easily extendable, we will increase the breadth and thus improve the model, as soon as more data become available. Using the current model and an independent test set, we obtained AUC = 0.747. TensorFlow is an open source software library for neural network models made by Google. Recently RStudio released Keras an API for accessing TensorFlow in R. Keras enables fast experimentation - Being able to go from idea to result with the least possible delay is key to doing good research."
"rinpharma_38","2018 Conference","Talk","2018","2018-08-16","Adrian Waddell","Roche / Genentech","Analyzing Clinical Trials Data with R","","","Creating datasets and tables, listings and graphs (TLGs) for analyzing clinical trials data with R, such that in the final stage the code, datasets and TLGs can be submitted to the health authorities, is a multifaceted problem. We have been working on a number of R packages to create an R-based analysis environment that can be used for exploratory and regulatory analysis of clinical trials data. These projects include table creation (open source http//github.com/Roche/rtables); random data generation; querying CDISC standards; TLG creation; a pipeline for specifying and producing data and TLG deliverables (with logs, automation, titles and footnotes, etc.); a modular shiny-based exploratory framework that provides dynamic encodings, variable-based filtering, and R-code generation for the displayed outputs. The maturity of these projects varies, but the workflow and analysis environment as a whole can be demonstrated nicely. In this talk, we would like to generate interest in collaboration in order to make these projects more general and with the final goal of open-sourcing some of them."
"rinpharma_39","2018 Conference","Talk","2018","2018-08-16","Devin Pastoor","Metrum Research Group","Moving Fast Without Breaking Things: Navigating the R Ecosystem in an Enterprise Environment","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Pastoor-Moving_Fast_without_Breaking_Things.pdf","","Despite the explosive growth and adoption of R globally, concerns over how to qualify and administrate R continues to echo in discussions about use in regulated environments. In this talk, I'll discuss the how to bridge the conceptual tenants of reproducibility, traceability, and accuracy to robust, yet agile, implementations such that and organization can maintain validated systems without imposing the shackles found in traditional validated environments. Furthermore, I will discuss a number of design elements specific to the open-source R ecosystem, such as using packages from CRAN and github, and cover how to embrace these, while responsibly managing risk in enterprise environments."
"rinpharma_41","2018 Conference","Talk","2018","2018-08-16","Mat Soukup","FDA","Unification in a Compartmentalized Culture","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Soukup-Unification_in_Compartmentalized_Culture.pptx","","When it comes to analytics of data collected in medical research, today’s culture is compartmentalized – not only across institutions, but even within institutions. Such a culture stagnates analytical development and limits the ability to fully master the data thereby reducing the effectiveness in communicating clinical information to stakeholders. A unified culture can exist – statisticians, programmers, and clinicians need to speak to each other; regulatory agencies, pharmaceutical companies, and academics need to speak to each other. Once everyone comes together to discuss how the medical research data should be collected, interrogated and presented; analytics can be developed and shared within and across institutions. From an analytics perspective, nothing new needs to be developed, solutions are already available – many of them free. We just need to come together and start talking. So let’s talk."
"rinpharma_42","2018 Conference","Talk","2018","2018-08-16","Kieran Martin","Roche / Genentech","R4SPA: R Packages and Training to enable Statistical Programming in R","https://kieranjmartin.github.io/R4SPA-talk/r4spa.html","","R is a very powerful tool for performing statistical programming, but has had a lower uptake in the life sciences when compared to SAS. As a result, many of the packages created for R are not focused on the type of tasks Statistical Programmers do. In this talk I introduce several packages and in house training we are developing to aid regulatory outputs. The R packages include rcompare, a package to allow comparison of datasets, analogous to proc compare in SAS, and r4spa which allows outputs to be in the correct format for production. Each package solves a problem particular to the life sciences, and is intended to improve uptake of R usage within the industry. Similarly, to the R packages, the training is focused on providing examples of actual work, so that users of the training will be able to immediately apply their knowledge."
"rinpharma_43","2018 Conference","Talk","2018","2018-08-16","Jia Kang","Metrum Research Group","Assisting pharmacometric simulation with the use of Shiny","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Kang-Assisting_Pharmacometric_Simulation_with_the_Use_of_Shiny.pdf","","During the drug development, pharmacometric models are often built to characterize and understand drug efficacy and safety. Simulations based on these models can assist drug development and quantitative decision making. However, computation can be time-consuming and communication with the project team may not be productive. Shiny applications are developed as a simulation tool which allows rapid real-time simulations based on user-selected inputs and dynamic visualization of the results. It provides an easy access to individuals with no specific background of modeling and simulation. In the talk, I will present some case studies where the shiny application was used to perform simulations and facilitate the communication with decision makers."
"rinpharma_44","2018 Conference","Talk","2018","2018-08-16","Nate Mockler","Biogen","R/Shiny Clinical Dashboards For Fun* and Profit *Note: Fun is Relative","","","For the Pharma Company How many times have you made a graph and gotten an email back saying ""Can we change the axes?"" or ""Can we change the symbols?"" or ""I really need to look at the graph before I can tell you what I want"". It would be much more efficient for your customers to explore the data and the visualizations in an easy-to-use method and can free you up to work on the myriad other tasks you have to do. Rather than learn another programming language, the shiny package uses the R code you already know to create interactive visualizations with a small bit of additional learning. This talk will go over example dashboards for such data as adverse events, labs, and primary endpoints that will aid data managers, statisticians, clinical people, and... even you."
"rinpharma_45","2018 Conference","Talk","2018","2018-08-16","Will Landau","Eli Lilly","The drake R package: reproducible data analysis at scale","","","The drake package is a general-purpose workflow manager for data-driven tasks in R, with applications in the pharmaceutical industry ranging from tailored medicine to clinical trial simulation and beyond. Drake rebuilds intermediate data objects when their dependencies change, and it skips work when the results are already up to date. Not every runthrough starts from scratch, and completed workflows have tangible evidence of reproducibility. Drake is more scalable than knitr, more thorough than memoization, and more R-focused than other pipeline toolkits such as GNU Make, remake, and snakemake."
"rinpharma_47","2018 Conference","Keynote","2018","2018-08-16","Michael Lawrence","Roche / Genentech","Enabling open-source analytics in the enterprise","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Lawrence-Enabling_open_source_analytics_in_the_enterprise.pdf","","The open-source analytics community is driving innovation in precompetitive spaces like statistical methodology, reproducibility approaches, visualization techniques, and scaling strategies. The diverse and rapdily evolving ecosystem of open-source tools and standards stands in contrast with the disposition of the enterprise towards stability, standardization, and reliability. This talk will present the policies and frameworks we have developed at Genentech to enable internal scientists to responsibly leverage open-source tools and to participate in the community process through their own contributions."
"rinpharma_48","2018 Conference","Talk","2018","2018-08-16","James Black","Roche / Genentech","The role of R in converting clinical trial programmers to data scientists","","","In 3 years Real World Data Science Analytics in Roche/Genentech transitioned from a small team of former clinical trial programmers supporting a real world evidence team to become the largest department within the Personalised Healthcare (PHC) Centre of Excellence. This transition was driven by industry-wide acknowledgement of the growing importance of leveraging analytics to support PHC, but this change necessitated radical changes in workflows and competencies. To adapt to this change, the team has moved from using a single proprietary software (SAS) to becoming an open source-focused, R based but increasingly programming language agnostic, department. A core driver of this transition was the development of an internal suite of R packages that handled markdown templates and database access through to wrappers for common plots and documenting git hashes of all code used. Bringing this diverse set of tools into a coherent eco-system is a meta-package modelled on the tidyverse."
"rinpharma_49","2018 Conference","Talk","2018","2018-08-16","Xiuting Mi","Roche / Genentech","Accelerate Personalized Health Care by Empowering Biomarker Data","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Mi-Accelerate_PHC_by_Empowering_Biomarker_Data.pptx","","In Pharmaceutical industry, personalized patient care is about having access to traditional and new data sources including comprehensive diagnostic data, sensor data, real-world data, etc., applying traditional and advanced analytics like machine learning to create meaningful insights, and then realizing value from those insights for smarter and more efficient research and development (R&D) and improving patient access and personalized patient care. Biomarker research is a key component of the PHC Strategy, complementing efforts to access high-dimensional genomics data and conducting appropriated analysis using right tools differentiate from those for current well-established clinical trials. This paper, in perspective of R&D, describes the close collaboration between China Oncology Biomarker Data group (OBD China) and Product Development Biometrics (PDB) expertise, from sample collection, lab process in biomarker stand-alone studies to meaningful results mainly conducted in R, which enables to prioritize molecule development, inform the design of specific trials and identify R&D opportunities for regional diseases."
"rinpharma_50","2018 Conference","Talk","2018","2018-08-16","Marianna Foos","Biogen","Keeping things Peachy when Shiny gets Hairy","https://github.com/rinpharma/2018_presentations/blob/master/talks_folder/2018-Foos-Keeping_Things_Peachy_When_Shiny_Gets_Hairy.pptx","","Shiny is a popular R package that lets users develop interactive web applications using just R code. The ease of use and downstream boost in productivity mean that working with Shiny can kick off a rapid request-implementation-inspiration-request cycle. Designing your applications with an eye toward future expansion can save time and reduce human error in the long term."
"rinpharma_51","2018 Conference","Talk","2018","2018-08-16","Jessica Minnier","Oregon Health & Science University","Shiny Apps in Genomics and Clinical Trials","https://jminnier-talks.netlify.app/2018_08_rpharma_shiny/minnier_rpharma2018.html","","R Shiny has revolutionized the way statisticians and analysts distribute analytic results and research methods. We can easily build interactive web tools that enhance data visualization and facilitate data and information sharing. Shiny apps can empower non-statisticians to explore and visualize their data or perform their own analyses with methods we develop. Harnessing this power, R users have developed Shiny apps for visualizing clinical trials and pharmaceutical data, as well as applications that aid in study design and analysis. I will present examples of how Shiny can be used in many stages of the drug development process and discuss the challenges as well as benefits of incorporating these tools in pharmaceutical workflows."
